Scenario,ScenarioCN,DDREScenarioId,Method,Status,ErrorMessage,TotalObjective_Yuan,Iterations,CarbonTradingCost_Yuan
S4_DDRE_019,Scenario 4 - With carbon trading - With demand response - DDRE 019,19,centralized-multi-energy-pq,Solved,,32319.3218471665,NaN,783.934604322677
S4_DDRE_020,Scenario 4 - With carbon trading - With demand response - DDRE 020,20,centralized-multi-energy-pq,Solved,,23893.9033689462,NaN,579.577529695743
S4_DDRE_021,Scenario 4 - With carbon trading - With demand response - DDRE 021,21,centralized-multi-energy-pq,Solved,,50441.0767028575,NaN,1379.12511180756
S4_DDRE_022,Scenario 4 - With carbon trading - With demand response - DDRE 022,22,centralized-multi-energy-pq,Solved,,24397.5491777374,NaN,397.299658826811
S4_DDRE_023,Scenario 4 - With carbon trading - With demand response - DDRE 023,23,centralized-multi-energy-pq,Solved,,51012.5918421369,NaN,1630.32703990236
S4_DDRE_024,Scenario 4 - With carbon trading - With demand response - DDRE 024,24,centralized-multi-energy-pq,Solved,,57062.1782785893,NaN,1811.28723266268
S4_DDRE_025,Scenario 4 - With carbon trading - With demand response - DDRE 025,25,centralized-multi-energy-pq,Solved,,34527.1863839326,NaN,766.528536331926
S4_DDRE_026,Scenario 4 - With carbon trading - With demand response - DDRE 026,26,centralized-multi-energy-pq,Solved,,28917.413430475,NaN,845.157557527298
S4_DDRE_027,Scenario 4 - With carbon trading - With demand response - DDRE 027,27,centralized-multi-energy-pq,Solved,,28171.835312837,NaN,709.110401117833
S4_DDRE_028,Scenario 4 - With carbon trading - With demand response - DDRE 028,28,centralized-multi-energy-pq,Solved,,43405.3441074048,NaN,1047.71049692045
S4_DDRE_029,Scenario 4 - With carbon trading - With demand response - DDRE 029,29,centralized-multi-energy-pq,Solved,,35004.8839189359,NaN,856.412412776565
S4_DDRE_030,Scenario 4 - With carbon trading - With demand response - DDRE 030,30,centralized-multi-energy-pq,Solved,,27792.3472976977,NaN,350.690075096995
S4_DDRE_031,Scenario 4 - With carbon trading - With demand response - DDRE 031,31,centralized-multi-energy-pq,Solved,,30140.3763166125,NaN,875.08986938181
S4_DDRE_032,Scenario 4 - With carbon trading - With demand response - DDRE 032,32,centralized-multi-energy-pq,Solved,,52063.9241200011,NaN,1577.8678714137
S4_DDRE_033,Scenario 4 - With carbon trading - With demand response - DDRE 033,33,centralized-multi-energy-pq,Solved,,66011.8349944648,NaN,2431.83212063364
S4_DDRE_034,Scenario 4 - With carbon trading - With demand response - DDRE 034,34,centralized-multi-energy-pq,Solved,,29998.2066762305,NaN,764.093959893886
S4_DDRE_035,Scenario 4 - With carbon trading - With demand response - DDRE 035,35,centralized-multi-energy-pq,Solved,,37425.4948012623,NaN,784.413707622329
S4_DDRE_036,Scenario 4 - With carbon trading - With demand response - DDRE 036,36,centralized-multi-energy-pq,Solved,,21858.4457269235,NaN,660.396287414505
S4_DDRE_037,Scenario 4 - With carbon trading - With demand response - DDRE 037,37,centralized-multi-energy-pq,Solved,,42363.6189347838,NaN,925.209363451544
S4_DDRE_038,Scenario 4 - With carbon trading - With demand response - DDRE 038,38,centralized-multi-energy-pq,Solved,,20108.3424289185,NaN,373.555544030175
S4_DDRE_039,Scenario 4 - With carbon trading - With demand response - DDRE 039,39,centralized-multi-energy-pq,Solved,,54674.8201935809,NaN,1660.14136135771
S4_DDRE_040,Scenario 4 - With carbon trading - With demand response - DDRE 040,40,centralized-multi-energy-pq,Solved,,36917.0827612318,NaN,888.05506908251
S4_DDRE_041,Scenario 4 - With carbon trading - With demand response - DDRE 041,41,centralized-multi-energy-pq,Solved,,23157.1548945179,NaN,105.432850855862
S4_DDRE_042,Scenario 4 - With carbon trading - With demand response - DDRE 042,42,centralized-multi-energy-pq,Solved,,28778.6874243136,NaN,905.178804055081
S4_DDRE_043,Scenario 4 - With carbon trading - With demand response - DDRE 043,43,centralized-multi-energy-pq,Solved,,37287.7840428014,NaN,786.194876977926
S4_DDRE_044,Scenario 4 - With carbon trading - With demand response - DDRE 044,44,centralized-multi-energy-pq,Solved,,35274.9540931495,NaN,798.177651981794
S4_DDRE_045,Scenario 4 - With carbon trading - With demand response - DDRE 045,45,centralized-multi-energy-pq,Solved,,21229.3612246726,NaN,506.779156612616
S4_DDRE_046,Scenario 4 - With carbon trading - With demand response - DDRE 046,46,centralized-multi-energy-pq,Solved,,42960.3613915589,NaN,1091.42989403621
S4_DDRE_047,Scenario 4 - With carbon trading - With demand response - DDRE 047,47,centralized-multi-energy-pq,Solved,,55488.0416357832,NaN,1752.29337165977
S4_DDRE_048,Scenario 4 - With carbon trading - With demand response - DDRE 048,48,centralized-multi-energy-pq,Solved,,33441.4036246724,NaN,732.921580508108
S4_DDRE_049,Scenario 4 - With carbon trading - With demand response - DDRE 049,49,centralized-multi-energy-pq,Solved,,35807.1639216802,NaN,787.797203914859
S4_DDRE_050,Scenario 4 - With carbon trading - With demand response - DDRE 050,50,centralized-multi-energy-pq,Solved,,23594.6168760984,NaN,336.599781601637
S4_DDRE_051,Scenario 4 - With carbon trading - With demand response - DDRE 051,51,centralized-multi-energy-pq,Solved,,29867.301369629,NaN,3.065741656463
S4_DDRE_052,Scenario 4 - With carbon trading - With demand response - DDRE 052,52,centralized-multi-energy-pq,Solved,,21103.5201925931,NaN,252.722190906294
S4_DDRE_053,Scenario 4 - With carbon trading - With demand response - DDRE 053,53,centralized-multi-energy-pq,Solved,,25131.7642295877,NaN,569.536185971871
S4_DDRE_054,Scenario 4 - With carbon trading - With demand response - DDRE 054,54,centralized-multi-energy-pq,Solved,,32832.2334092667,NaN,731.446321160676
S4_DDRE_055,Scenario 4 - With carbon trading - With demand response - DDRE 055,55,centralized-multi-energy-pq,Solved,,21563.8535587757,NaN,194.942261567657
S4_DDRE_056,Scenario 4 - With carbon trading - With demand response - DDRE 056,56,centralized-multi-energy-pq,Solved,,27438.7741367192,NaN,817.973475195564
S4_DDRE_057,Scenario 4 - With carbon trading - With demand response - DDRE 057,57,centralized-multi-energy-pq,Solved,,35436.3818138924,NaN,804.013534770165
S4_DDRE_058,Scenario 4 - With carbon trading - With demand response - DDRE 058,58,centralized-multi-energy-pq,Solved,,38511.3805086279,NaN,698.107523664153
S4_DDRE_059,Scenario 4 - With carbon trading - With demand response - DDRE 059,59,centralized-multi-energy-pq,Solved,,42588.3315528193,NaN,774.740503079542
S4_DDRE_060,Scenario 4 - With carbon trading - With demand response - DDRE 060,60,centralized-multi-energy-pq,Solved,,19584.7546817228,NaN,328.484353406649
S4_DDRE_061,Scenario 4 - With carbon trading - With demand response - DDRE 061,61,centralized-multi-energy-pq,Solved,,36965.639710046,NaN,746.290240072429
S4_DDRE_062,Scenario 4 - With carbon trading - With demand response - DDRE 062,62,centralized-multi-energy-pq,Solved,,20760.745572529,NaN,335.238515906391
S4_DDRE_063,Scenario 4 - With carbon trading - With demand response - DDRE 063,63,centralized-multi-energy-pq,Solved,,46977.778935514,NaN,1066.77044616847
S4_DDRE_064,Scenario 4 - With carbon trading - With demand response - DDRE 064,64,centralized-multi-energy-pq,Solved,,42449.5096423282,NaN,766.619755658672
S4_DDRE_065,Scenario 4 - With carbon trading - With demand response - DDRE 065,65,centralized-multi-energy-pq,Solved,,35170.9274956048,NaN,1119.715433218
S4_DDRE_066,Scenario 4 - With carbon trading - With demand response - DDRE 066,66,centralized-multi-energy-pq,Solved,,24934.7153448391,NaN,535.409947249005
S4_DDRE_067,Scenario 4 - With carbon trading - With demand response - DDRE 067,67,centralized-multi-energy-pq,Solved,,53234.3853734524,NaN,1587.28546135783
S4_DDRE_068,Scenario 4 - With carbon trading - With demand response - DDRE 068,68,centralized-multi-energy-pq,Solved,,38150.1751388027,NaN,950.902088373718
S4_DDRE_069,Scenario 4 - With carbon trading - With demand response - DDRE 069,69,centralized-multi-energy-pq,Solved,,26317.2978169004,NaN,706.394028369465
S4_DDRE_070,Scenario 4 - With carbon trading - With demand response - DDRE 070,70,centralized-multi-energy-pq,Solved,,51098.0230000576,NaN,1494.80424821091
S4_DDRE_071,Scenario 4 - With carbon trading - With demand response - DDRE 071,71,centralized-multi-energy-pq,Solved,,56572.4720379326,NaN,1939.72601588778
S4_DDRE_072,Scenario 4 - With carbon trading - With demand response - DDRE 072,72,centralized-multi-energy-pq,Solved,,24454.335906261,NaN,389.022866395388
S4_DDRE_073,Scenario 4 - With carbon trading - With demand response - DDRE 073,73,centralized-multi-energy-pq,Solved,,34215.7412679511,NaN,1190.6480752514
S4_DDRE_074,Scenario 4 - With carbon trading - With demand response - DDRE 074,74,centralized-multi-energy-pq,Solved,,40505.8060111226,NaN,915.164223147529
S4_DDRE_075,Scenario 4 - With carbon trading - With demand response - DDRE 075,75,centralized-multi-energy-pq,Solved,,58336.6535834564,NaN,1933.13282207718
S4_DDRE_076,Scenario 4 - With carbon trading - With demand response - DDRE 076,76,centralized-multi-energy-pq,Solved,,24026.1349623801,NaN,320.037641329776
S4_DDRE_077,Scenario 4 - With carbon trading - With demand response - DDRE 077,77,centralized-multi-energy-pq,Solved,,26440.6482815107,NaN,224.778822125155
S4_DDRE_078,Scenario 4 - With carbon trading - With demand response - DDRE 078,78,centralized-multi-energy-pq,Solved,,22888.9135431484,NaN,756.478382628336
S4_DDRE_079,Scenario 4 - With carbon trading - With demand response - DDRE 079,79,centralized-multi-energy-pq,Solved,,25188.974571043,NaN,646.329025260223
S4_DDRE_080,Scenario 4 - With carbon trading - With demand response - DDRE 080,80,centralized-multi-energy-pq,Solved,,31250.0620293571,NaN,1070.28084493269
S4_DDRE_081,Scenario 4 - With carbon trading - With demand response - DDRE 081,81,centralized-multi-energy-pq,Solved,,24970.0873483217,NaN,714.708608750739
S4_DDRE_082,Scenario 4 - With carbon trading - With demand response - DDRE 082,82,centralized-multi-energy-pq,Solved,,31181.6940796974,NaN,1099.95266561611
S4_DDRE_083,Scenario 4 - With carbon trading - With demand response - DDRE 083,83,centralized-multi-energy-pq,Solved,,34512.4110903118,NaN,832.4767177039
S4_DDRE_084,Scenario 4 - With carbon trading - With demand response - DDRE 084,84,centralized-multi-energy-pq,Solved,,20657.0760662498,NaN,373.163386740257
S4_DDRE_085,Scenario 4 - With carbon trading - With demand response - DDRE 085,85,centralized-multi-energy-pq,Solved,,31335.7125764303,NaN,919.027336110951
S4_DDRE_086,Scenario 4 - With carbon trading - With demand response - DDRE 086,86,centralized-multi-energy-pq,Solved,,26346.9918638049,NaN,493.105974461089
S4_DDRE_087,Scenario 4 - With carbon trading - With demand response - DDRE 087,87,centralized-multi-energy-pq,Solved,,39776.9856178406,NaN,861.099046996419
S4_DDRE_088,Scenario 4 - With carbon trading - With demand response - DDRE 088,88,centralized-multi-energy-pq,Solved,,41554.7413823015,NaN,1034.78513362509
S4_DDRE_089,Scenario 4 - With carbon trading - With demand response - DDRE 089,89,centralized-multi-energy-pq,Solved,,25612.9004878242,NaN,508.698021714698
S4_DDRE_090,Scenario 4 - With carbon trading - With demand response - DDRE 090,90,centralized-multi-energy-pq,Solved,,27033.8289547985,NaN,599.324832848618
S4_DDRE_091,Scenario 4 - With carbon trading - With demand response - DDRE 091,91,centralized-multi-energy-pq,Solved,,29309.8873897815,NaN,847.518496475514
S4_DDRE_092,Scenario 4 - With carbon trading - With demand response - DDRE 092,92,centralized-multi-energy-pq,Solved,,35181.8927133624,NaN,791.601879859054
S4_DDRE_093,Scenario 4 - With carbon trading - With demand response - DDRE 093,93,centralized-multi-energy-pq,Solved,,51823.8460815655,NaN,1478.58476099868
S4_DDRE_094,Scenario 4 - With carbon trading - With demand response - DDRE 094,94,centralized-multi-energy-pq,Solved,,42433.8956458249,NaN,987.39857170706
S4_DDRE_095,Scenario 4 - With carbon trading - With demand response - DDRE 095,95,centralized-multi-energy-pq,Solved,,38281.6215375901,NaN,783.830300146909
S4_DDRE_096,Scenario 4 - With carbon trading - With demand response - DDRE 096,96,centralized-multi-energy-pq,Solved,,27478.6169341526,NaN,782.311642320165
S4_DDRE_097,Scenario 4 - With carbon trading - With demand response - DDRE 097,97,centralized-multi-energy-pq,Solved,,43112.2993544918,NaN,753.810425872808
S4_DDRE_098,Scenario 4 - With carbon trading - With demand response - DDRE 098,98,centralized-multi-energy-pq,Solved,,39305.6238863512,NaN,762.58814797341
S4_DDRE_099,Scenario 4 - With carbon trading - With demand response - DDRE 099,99,centralized-multi-energy-pq,Solved,,47889.366848668,NaN,1376.05000357204
S4_DDRE_100,Scenario 4 - With carbon trading - With demand response - DDRE 100,100,centralized-multi-energy-pq,Solved,,23351.3211478799,NaN,504.356095681558
